IPD EXPERIMENT ANALYSIS REPORT
==================================================

OVERALL PERFORMANCE RANKINGS
------------------------------
1. Prober_p4i1: 3.098 points/move
2. ThompsonSampling_p3i1: 3.071 points/move
3. SuspiciousTitForTat_p5i1: 2.968 points/move
4. GrimTrigger_p2i1: 2.958 points/move
5. ThompsonSampling_p5i1: 2.949 points/move
6. Bayesian_p3i1: 2.932 points/move
7. Detective_p4i1: 2.917 points/move
8. Random_p3i1: 2.889 points/move
9. SuspiciousTitForTat_p4i1: 2.883 points/move
10. Alternator_p2i1: 2.879 points/move
11. Mistral-Medium_T12_p1i1: 2.865 points/move
12. TitForTat_p3i1: 2.862 points/move
13. Alternator_p4i1: 2.854 points/move
14. GPT5nano_T1_p5i1: 2.849 points/move
15. ForgivingGrimTrigger_p4i1: 2.833 points/move
16. SoftGrudger_p2i1: 2.828 points/move
17. Gemini20Flash_T02_p2i1: 2.822 points/move
18. WinStayLoseShift_p5i1: 2.819 points/move
19. GradientMetaLearner_p3i1: 2.819 points/move
20. ThompsonSampling_p1i1: 2.819 points/move
21. GPT5mini_T1_p2i1: 2.818 points/move
22. QLearning_p4i1: 2.811 points/move
23. Random_p4i1: 2.809 points/move
24. Mistral-Medium_T12_p3i1: 2.808 points/move
25. GenerousTitForTat_p5i1: 2.805 points/move
26. Gemini20Flash_T02_p5i1: 2.803 points/move
27. Gemini20Flash_T12_p4i1: 2.800 points/move
28. GPT4.1mini_T1_p5i1: 2.795 points/move
29. GenerousTitForTat_p3i1: 2.791 points/move
30. Mistral-Medium_T02_p2i1: 2.789 points/move
31. WinStayLoseShift_p4i1: 2.789 points/move
32. SoftGrudger_p4i1: 2.782 points/move
33. Claude4-Sonnet_T05_p1i1: 2.779 points/move
34. ForgivingGrimTrigger_p5i1: 2.772 points/move
35. GrimTrigger_p1i1: 2.761 points/move
36. Claude4-Sonnet_T05_p5i1: 2.761 points/move
37. Gradual_p5i1: 2.758 points/move
38. GrimTrigger_p5i1: 2.755 points/move
39. Claude4-Sonnet_T08_p3i1: 2.754 points/move
40. ThompsonSampling_p2i1: 2.753 points/move
41. Gemini20Flash_T02_p3i1: 2.750 points/move
42. Gradual_p2i1: 2.745 points/move
43. SuspiciousTitForTat_p3i1: 2.743 points/move
44. Alternator_p3i1: 2.740 points/move
45. Mistral-Medium_T07_p3i1: 2.737 points/move
46. SoftGrudger_p5i1: 2.737 points/move
47. Claude4-Sonnet_T08_p1i1: 2.736 points/move
48. GPT5mini_T1_p4i1: 2.736 points/move
49. Claude4-Sonnet_T05_p2i1: 2.735 points/move
50. Gemini20Flash_T12_p1i1: 2.733 points/move
51. Claude4-Sonnet_T02_p3i1: 2.731 points/move
52. Claude4-Sonnet_T08_p2i1: 2.729 points/move
53. GPT5mini_T1_p5i1: 2.726 points/move
54. Gemini20Flash_T12_p5i1: 2.726 points/move
55. TitForTat_p5i1: 2.725 points/move
56. Gemini20Flash_T12_p3i1: 2.724 points/move
57. Bayesian_p5i1: 2.722 points/move
58. GPT4.1mini_T1_p4i1: 2.719 points/move
59. WinStayLoseShift_p2i1: 2.717 points/move
60. GenerousTitForTat_p2i1: 2.713 points/move
