shadow_condition,agent,horizon_awareness,opponent_modeling
0.75,GPT5mini_T1_p1i1,1.0,1.0
0.75,GPT5nano_T1_p1i1,1.0,1.0
0.75,GPT4.1mini_T1_p1i1,1.0,1.0
0.75,Claude4-Sonnet_T02_p1i1,1.0,1.0
0.75,Claude4-Sonnet_T05_p1i1,1.0,1.0
0.75,Claude4-Sonnet_T08_p1i1,1.0,1.0
0.75,Mistral-Medium_T02_p1i1,1.0,1.0
0.75,Mistral-Medium_T07_p1i1,1.0,1.0
0.75,Mistral-Medium_T12_p1i1,1.0,1.0
0.75,Gemini20Flash_T02_p1i1,0.25,1.0
0.75,Gemini20Flash_T07_p1i1,1.0,1.0
0.75,Gemini20Flash_T12_p1i1,1.0,1.0
0.75,GPT5mini_T1_p2i1,1.0,1.0
0.75,GPT5mini_T1_p2i2,1.0,1.0
0.75,GPT5nano_T1_p2i1,1.0,1.0
0.75,Claude4-Sonnet_T02_p2i1,0.967741935483871,1.0
0.75,Claude4-Sonnet_T05_p2i1,0.95,1.0
0.75,Claude4-Sonnet_T08_p2i1,1.0,1.0
0.75,Mistral-Medium_T02_p2i1,1.0,1.0
0.75,Mistral-Medium_T07_p2i1,1.0,1.0
0.75,Mistral-Medium_T12_p2i1,1.0,1.0
0.75,Gemini20Flash_T02_p2i1,0.95,1.0
0.75,Gemini20Flash_T07_p2i1,0.9285714285714286,1.0
0.75,Gemini20Flash_T12_p2i1,0.8888888888888888,1.0
0.75,GPT5mini_T1_p3i1,1.0,1.0
0.75,GPT5mini_T1_p3i2,1.0,1.0
0.75,GPT5mini_T1_p3i3,1.0,1.0
0.75,GPT5mini_T1_p3i4,0.972972972972973,1.0
0.75,GPT5nano_T1_p3i1,0.6666666666666666,1.0
0.75,Claude4-Sonnet_T02_p3i1,0.9393939393939394,1.0
0.75,Claude4-Sonnet_T05_p3i1,1.0,1.0
0.75,Claude4-Sonnet_T08_p3i1,0.9705882352941176,1.0
0.75,Mistral-Medium_T02_p3i1,0.9736842105263158,1.0
0.75,Mistral-Medium_T07_p3i1,1.0,1.0
0.75,Gemini20Flash_T07_p3i1,0.896551724137931,1.0
0.75,Gemini20Flash_T12_p3i1,0.9047619047619048,1.0
0.75,GPT5mini_T1_p4i1,1.0,1.0
0.75,GPT5mini_T1_p4i2,1.0,1.0
0.75,GPT5mini_T1_p4i3,1.0,1.0
0.75,GPT5mini_T1_p4i4,1.0,1.0
0.75,GPT5mini_T1_p4i5,1.0,1.0
0.75,GPT5mini_T1_p4i6,1.0,1.0
0.75,GPT5mini_T1_p4i7,1.0,1.0
0.75,Claude4-Sonnet_T08_p4i1,0.8947368421052632,1.0
0.75,Mistral-Medium_T02_p4i1,0.9393939393939394,1.0
0.75,GPT5mini_T1_p5i1,1.0,1.0
0.75,GPT5mini_T1_p5i2,1.0,1.0
0.75,GPT5mini_T1_p5i3,1.0,1.0
0.75,GPT5mini_T1_p5i4,1.0,1.0
0.75,GPT5mini_T1_p5i5,1.0,1.0
0.75,GPT5mini_T1_p5i6,1.0,1.0
0.75,GPT5mini_T1_p5i7,1.0,1.0
0.75,GPT5mini_T1_p5i8,1.0,1.0
