IPD EXPERIMENT ANALYSIS REPORT
==================================================

OVERALL PERFORMANCE RANKINGS
------------------------------
1. Detective_p5i1: 3.203 points/move
2. Mistral-Medium_T07: 3.067 points/move
3. Gemini20Flash_T12: 3.040 points/move
4. ThompsonSampling_p3i1: 3.025 points/move
5. ForgivingGrimTrigger_p2i1: 3.000 points/move
6. Detective_p2i1: 2.991 points/move
7. QLearning_p1i1: 2.977 points/move
8. Claude4-Sonnet_T05: 2.970 points/move
9. ThompsonSampling_p1i1: 2.968 points/move
10. GPT4.1mini_T1: 2.960 points/move
11. Random_p5i1: 2.942 points/move
12. GPT5nano_T1: 2.935 points/move
13. QLearning_p3i1: 2.931 points/move
14. Claude4-Sonnet_T08: 2.929 points/move
15. GradientMetaLearner_p1i1: 2.921 points/move
16. Mistral-Medium_T12: 2.919 points/move
17. ForgivingGrimTrigger_p5i1: 2.911 points/move
18. GradientMetaLearner_p5i1: 2.910 points/move
19. Claude4-Sonnet_T02: 2.905 points/move
20. ThompsonSampling_p2i1: 2.893 points/move
21. GrimTrigger_p4i1: 2.878 points/move
22. Gemini20Flash_T07: 2.876 points/move
23. SuspiciousTitForTat_p3i1: 2.875 points/move
24. SuspiciousTitForTat_p1i1: 2.870 points/move
25. Mistral-Medium_T02: 2.867 points/move
26. Prober_p3i1: 2.865 points/move
27. GPT5mini_T1: 2.859 points/move
28. Gemini20Flash_T02: 2.849 points/move
29. TitForTat_p4i1: 2.845 points/move
30. GrimTrigger_p3i1: 2.842 points/move
31. GenerousTitForTat_p2i1: 2.838 points/move
32. GPT4.1mini_T1_p3i1: 2.836 points/move
33. GrimTrigger_p5i1: 2.832 points/move
34. Prober_p5i1: 2.827 points/move
35. Bayesian_p5i1: 2.826 points/move
36. GenerousTitForTat_p5i1: 2.825 points/move
37. WinStayLoseShift_p3i1: 2.814 points/move
38. SuspiciousTitForTat_p5i1: 2.809 points/move
39. Claude4-Sonnet_T05_p5i1: 2.796 points/move
40. Gradual_p1i1: 2.794 points/move
41. WinStayLoseShift_p5i1: 2.791 points/move
42. Claude4-Sonnet_T02_p2i1: 2.789 points/move
43. GPT5mini_T1_p5i1: 2.779 points/move
44. Claude4-Sonnet_T02_p1i1: 2.779 points/move
45. Claude4-Sonnet_T08_p1i1: 2.778 points/move
46. Claude4-Sonnet_T05_p1i1: 2.771 points/move
47. Bayesian_p4i1: 2.769 points/move
48. Random_p4i1: 2.769 points/move
49. GrimTrigger_p1i1: 2.768 points/move
50. Bayesian_p1i1: 2.768 points/move
51. Gradual_p2i1: 2.764 points/move
52. Prober_p4i1: 2.764 points/move
53. Gemini20Flash_T02_p2i1: 2.763 points/move
54. SuspiciousTitForTat_p4i1: 2.761 points/move
55. SoftGrudger_p1i1: 2.760 points/move
56. GrimTrigger_p2i1: 2.754 points/move
57. GPT4.1mini_T1_p4i1: 2.753 points/move
58. Detective_p3i1: 2.750 points/move
59. SuspiciousTitForTat_p2i1: 2.745 points/move
60. Claude4-Sonnet_T08_p4i1: 2.743 points/move
61. Gradual_p5i1: 2.741 points/move
62. Claude4-Sonnet_T05_p2i1: 2.739 points/move
63. GenerousTitForTat_p1i1: 2.738 points/move
