timestamp,shadow_condition,match_id,round,agent1,agent2,agent1_move,agent2_move,agent1_total_score,agent2_total_score,agent1_reasoning,agent2_reasoning
2025-09-05T16:34:50.730267,0.25,TitForTat_p1i1_vs_GrimTrigger_p1i1,1,TitForTat_p1i1,GrimTrigger_p1i1,C,C,39,39,,
2025-09-05T16:34:50.730267,0.25,TitForTat_p1i1_vs_GrimTrigger_p1i1,2,TitForTat_p1i1,GrimTrigger_p1i1,C,C,39,39,,
2025-09-05T16:34:50.730267,0.25,TitForTat_p1i1_vs_GrimTrigger_p1i1,3,TitForTat_p1i1,GrimTrigger_p1i1,C,C,39,39,,
2025-09-05T16:34:50.730267,0.25,TitForTat_p1i1_vs_GrimTrigger_p1i1,4,TitForTat_p1i1,GrimTrigger_p1i1,C,C,39,39,,
2025-09-05T16:34:50.730267,0.25,TitForTat_p1i1_vs_GrimTrigger_p1i1,5,TitForTat_p1i1,GrimTrigger_p1i1,C,C,39,39,,
2025-09-05T16:34:50.730267,0.25,TitForTat_p1i1_vs_GrimTrigger_p1i1,6,TitForTat_p1i1,GrimTrigger_p1i1,C,C,39,39,,
2025-09-05T16:34:50.730267,0.25,TitForTat_p1i1_vs_GrimTrigger_p1i1,7,TitForTat_p1i1,GrimTrigger_p1i1,C,C,39,39,,
2025-09-05T16:34:50.730267,0.25,TitForTat_p1i1_vs_GrimTrigger_p1i1,8,TitForTat_p1i1,GrimTrigger_p1i1,C,C,39,39,,
2025-09-05T16:34:50.730267,0.25,TitForTat_p1i1_vs_GrimTrigger_p1i1,9,TitForTat_p1i1,GrimTrigger_p1i1,C,C,39,39,,
2025-09-05T16:34:50.730267,0.25,TitForTat_p1i1_vs_GrimTrigger_p1i1,10,TitForTat_p1i1,GrimTrigger_p1i1,C,C,39,39,,
2025-09-05T16:34:50.730267,0.25,TitForTat_p1i1_vs_GrimTrigger_p1i1,11,TitForTat_p1i1,GrimTrigger_p1i1,C,C,39,39,,
2025-09-05T16:34:50.730267,0.25,TitForTat_p1i1_vs_GrimTrigger_p1i1,12,TitForTat_p1i1,GrimTrigger_p1i1,C,C,39,39,,
2025-09-05T16:34:50.730267,0.25,TitForTat_p1i1_vs_GrimTrigger_p1i1,13,TitForTat_p1i1,GrimTrigger_p1i1,C,C,39,39,,
2025-09-05T16:34:50.730267,0.25,TitForTat_p1i1_vs_WinStayLoseShift_p1i1,1,TitForTat_p1i1,WinStayLoseShift_p1i1,C,C,3,3,,
2025-09-05T16:34:50.730267,0.25,TitForTat_p1i1_vs_GenerousTitForTat_p1i1,1,TitForTat_p1i1,GenerousTitForTat_p1i1,C,C,15,15,,Starting with cooperation.
2025-09-05T16:34:50.730267,0.25,TitForTat_p1i1_vs_GenerousTitForTat_p1i1,2,TitForTat_p1i1,GenerousTitForTat_p1i1,C,C,15,15,,"Opponent cooperated, so I'm cooperating too."
2025-09-05T16:34:50.730267,0.25,TitForTat_p1i1_vs_GenerousTitForTat_p1i1,3,TitForTat_p1i1,GenerousTitForTat_p1i1,C,C,15,15,,"Opponent cooperated, so I'm cooperating too."
2025-09-05T16:34:50.730267,0.25,TitForTat_p1i1_vs_GenerousTitForTat_p1i1,4,TitForTat_p1i1,GenerousTitForTat_p1i1,C,C,15,15,,"Opponent cooperated, so I'm cooperating too."
2025-09-05T16:34:50.730267,0.25,TitForTat_p1i1_vs_GenerousTitForTat_p1i1,5,TitForTat_p1i1,GenerousTitForTat_p1i1,C,C,15,15,,"Opponent cooperated, so I'm cooperating too."
2025-09-05T16:34:50.730267,0.25,TitForTat_p1i1_vs_SuspiciousTitForTat_p1i1,1,TitForTat_p1i1,SuspiciousTitForTat_p1i1,C,D,0,5,,Starting with defection (suspicious).
2025-09-05T16:34:50.730267,0.25,TitForTat_p1i1_vs_Prober_p1i1,1,TitForTat_p1i1,Prober_p1i1,C,C,13,18,,Starting with cooperation.
2025-09-05T16:34:50.730267,0.25,TitForTat_p1i1_vs_Prober_p1i1,2,TitForTat_p1i1,Prober_p1i1,C,D,13,18,,Testing opponent with defection on second move.
2025-09-05T16:34:50.730267,0.25,TitForTat_p1i1_vs_Prober_p1i1,3,TitForTat_p1i1,Prober_p1i1,D,C,13,18,,Back to cooperation for the third move.
2025-09-05T16:34:50.730267,0.25,TitForTat_p1i1_vs_Prober_p1i1,4,TitForTat_p1i1,Prober_p1i1,C,D,13,18,,"Playing Tit-for-Tat, copying opponent's last move (D)."
