shadow_condition,agent,horizon_awareness,opponent_modeling
0.25,GPT5mini_T1_p1i1,1.0,1.0
0.25,GPT5nano_T1_p1i1,1.0,1.0
0.25,GPT4.1mini_T1_p1i1,0.9830508474576272,1.0
0.25,Claude4-Sonnet_T02_p1i1,1.0,1.0
0.25,Claude4-Sonnet_T05_p1i1,1.0,1.0
0.25,Claude4-Sonnet_T08_p1i1,1.0,1.0
0.25,Mistral-Medium_T02_p1i1,1.0,1.0
0.25,Mistral-Medium_T07_p1i1,1.0,1.0
0.25,Mistral-Medium_T12_p1i1,1.0,1.0
0.25,Gemini20Flash_T02_p1i1,0.6836734693877551,1.0
0.25,Gemini20Flash_T07_p1i1,0.9655172413793104,1.0
0.25,Gemini20Flash_T12_p1i1,0.6625,1.0
0.25,GPT5mini_T1_p2i1,1.0,1.0
0.25,GPT5nano_T1_p2i1,1.0,1.0
0.25,GPT4.1mini_T1_p2i1,0.9888888888888889,1.0
0.25,Claude4-Sonnet_T02_p2i1,0.9736842105263158,1.0
0.25,Claude4-Sonnet_T05_p2i1,0.957983193277311,1.0
0.25,Claude4-Sonnet_T08_p2i1,0.9440559440559441,1.0
0.25,Mistral-Medium_T02_p2i1,0.940677966101695,1.0
0.25,Mistral-Medium_T07_p2i1,0.9391304347826087,1.0
0.25,Mistral-Medium_T12_p2i1,0.9619047619047619,1.0
0.25,Gemini20Flash_T02_p2i1,0.9278350515463918,1.0
0.25,Gemini20Flash_T07_p2i1,0.8348623853211009,1.0
0.25,Gemini20Flash_T12_p2i1,0.8849557522123894,1.0
0.25,GPT5mini_T1_p3i1,0.9875,1.0
0.25,GPT5nano_T1_p3i1,0.9166666666666666,1.0
0.25,GPT4.1mini_T1_p3i1,0.9918032786885246,1.0
0.25,Claude4-Sonnet_T02_p3i1,0.9369369369369369,1.0
0.25,Claude4-Sonnet_T05_p3i1,0.96,1.0
0.25,Claude4-Sonnet_T08_p3i1,0.9818181818181818,1.0
0.25,Mistral-Medium_T02_p3i1,0.9545454545454546,1.0
0.25,Mistral-Medium_T07_p3i1,0.9775280898876404,1.0
0.25,Mistral-Medium_T12_p3i1,0.978021978021978,1.0
0.25,Gemini20Flash_T02_p3i1,0.9090909090909091,1.0
0.25,Gemini20Flash_T07_p3i1,0.9038461538461539,1.0
0.25,Gemini20Flash_T12_p3i1,0.9065420560747663,1.0
0.25,GPT5mini_T1_p4i1,1.0,1.0
0.25,GPT5nano_T1_p4i1,1.0,1.0
0.25,GPT4.1mini_T1_p4i1,0.956989247311828,1.0
0.25,Claude4-Sonnet_T02_p4i1,0.9745762711864406,1.0
0.25,Claude4-Sonnet_T05_p4i1,0.9607843137254902,1.0
0.25,Claude4-Sonnet_T08_p4i1,0.9469026548672567,1.0
0.25,Mistral-Medium_T02_p4i1,0.972972972972973,1.0
0.25,Mistral-Medium_T07_p4i1,0.9306930693069307,1.0
0.25,Mistral-Medium_T12_p4i1,0.975,1.0
0.25,Gemini20Flash_T02_p4i1,0.8777777777777778,1.0
0.25,Gemini20Flash_T07_p4i1,0.9101123595505618,1.0
0.25,Gemini20Flash_T12_p4i1,0.8740740740740741,1.0
0.25,GPT5mini_T1_p5i1,1.0,1.0
0.25,GPT5nano_T1_p5i1,1.0,1.0
0.25,GPT4.1mini_T1_p5i1,0.9807692307692307,1.0
0.25,Claude4-Sonnet_T02_p5i1,0.926829268292683,1.0
0.25,Claude4-Sonnet_T05_p5i1,0.9029126213592233,1.0
0.25,Claude4-Sonnet_T08_p5i1,0.9565217391304348,1.0
0.25,Mistral-Medium_T02_p5i1,0.9172932330827067,1.0
0.25,Mistral-Medium_T07_p5i1,0.9514563106796117,1.0
0.25,Mistral-Medium_T12_p5i1,0.9590163934426229,1.0
0.25,Gemini20Flash_T02_p5i1,0.8695652173913043,1.0
0.25,Gemini20Flash_T07_p5i1,0.9181818181818182,1.0
0.25,Gemini20Flash_T12_p5i1,0.8383838383838383,1.0
0.25,GPT5mini_T1,1.0,1.0
0.25,GPT5nano_T1,1.0,1.0
0.25,GPT4.1mini_T1,1.0,1.0
0.25,Claude4-Sonnet_T02,1.0,1.0
0.25,Claude4-Sonnet_T05,1.0,1.0
0.25,Claude4-Sonnet_T08,1.0,1.0
0.25,Mistral-Medium_T02,1.0,1.0
0.25,Mistral-Medium_T07,0.9452054794520548,1.0
0.25,Mistral-Medium_T12,1.0,1.0
0.25,Gemini20Flash_T02,0.9459459459459459,1.0
0.25,Gemini20Flash_T07,0.7755102040816326,1.0
0.25,Gemini20Flash_T12,0.6129032258064516,1.0
0.25,GPT5mini_T1,1.0,1.0
0.25,GPT5nano_T1,1.0,1.0
0.25,GPT4.1mini_T1,1.0,1.0
0.25,Claude4-Sonnet_T02,1.0,1.0
0.25,Claude4-Sonnet_T05,1.0,1.0
0.25,Claude4-Sonnet_T08,1.0,1.0
0.25,Mistral-Medium_T02,1.0,1.0
0.25,Mistral-Medium_T07,0.9827586206896551,1.0
0.25,Mistral-Medium_T12,1.0,1.0
0.25,Gemini20Flash_T02,0.9444444444444444,1.0
0.25,Gemini20Flash_T07,0.7659574468085106,1.0
0.25,Gemini20Flash_T12,0.7380952380952381,1.0
0.25,GPT5mini_T1,1.0,1.0
0.25,GPT5nano_T1,1.0,1.0
0.25,GPT4.1mini_T1,1.0,1.0
0.25,Claude4-Sonnet_T02,1.0,1.0
0.25,Claude4-Sonnet_T05,1.0,1.0
0.25,Claude4-Sonnet_T08,1.0,1.0
0.25,Mistral-Medium_T02,1.0,1.0
0.25,Mistral-Medium_T07,1.0,1.0
0.25,Mistral-Medium_T12,1.0,1.0
0.25,Gemini20Flash_T02,1.0,1.0
0.25,Gemini20Flash_T07,0.78,1.0
0.25,Gemini20Flash_T12,0.78,1.0
