experiment,shadow_condition,phase,round,agent,provider,temperature,base_name,within_game_explicit_round_history_count,within_game_explicit_round_history_present,within_game_explicit_round_history_matches,within_game_move_sequence_tracking_count,within_game_move_sequence_tracking_present,within_game_move_sequence_tracking_matches,within_game_immediate_reciprocity_count,within_game_immediate_reciprocity_present,within_game_immediate_reciprocity_matches,within_game_within_game_patterns_count,within_game_within_game_patterns_present,within_game_within_game_patterns_matches,cross_match_cross_match_references_count,cross_match_cross_match_references_present,cross_match_cross_match_references_matches,cross_match_population_learning_count,cross_match_population_learning_present,cross_match_population_learning_matches,cross_match_meta_game_awareness_count,cross_match_meta_game_awareness_present,cross_match_meta_game_awareness_matches,within_game_history_score,cross_match_history_score,has_within_game_awareness,has_cross_match_awareness,total_history_awareness,is_first_round,is_later_round,invalid_first_round_history
experiment_20250905_152321,0.75,1,1,GPT5mini_T1_p1i1,GPT5,1.0,GPT5_T1,0,False,,0,False,,0,False,,0,False,,0,False,,0,False,,0,False,,0,0,False,False,0,True,False,False
experiment_20250905_152321,0.75,1,2,GPT5mini_T1_p1i1,GPT5,1.0,GPT5_T1,1,True,last round,0,False,,0,False,,0,False,,0,False,,0,False,,0,False,,1,0,True,False,1,False,True,False
experiment_20250905_152321,0.75,1,1,GPT4.1mini_T1_p1i1,GPT4,1.0,GPT4_T1,1,True,first round,0,False,,0,False,,0,False,,0,False,,0,False,,0,False,,1,0,True,False,1,True,False,True
experiment_20250905_152321,0.75,1,1,Gemini20Flash_T02_p1i1,Gemini,0.2,Gemini_T02,1,True,first round,0,False,,0,False,,0,False,,0,False,,0,False,,0,False,,1,0,True,False,1,True,False,True
experiment_20250905_152321,0.75,1,2,Gemini20Flash_T02_p1i1,Gemini,0.2,Gemini_T02,2,True,first round; second round,1,True,previous move,0,False,,0,False,,0,False,,0,False,,0,False,,3,0,True,False,3,False,True,False
experiment_20250905_152321,0.75,1,1,Gemini20Flash_T07_p1i1,Gemini,0.7,Gemini_T07,1,True,first round,1,True,previous move,0,False,,0,False,,0,False,,0,False,,0,False,,2,0,True,False,2,True,False,True
experiment_20250905_152321,0.75,1,1,Gemini20Flash_T12_p1i1,Gemini,1.2,Gemini_T12,0,False,,1,True,previous move,0,False,,0,False,,0,False,,0,False,,1,True,successful strategies,1,1,True,True,2,True,False,True
experiment_20250905_152321,0.75,1,1,GPT5mini_T1_p1i1,GPT5,1.0,GPT5_T1,0,False,,0,False,,0,False,,0,False,,0,False,,0,False,,0,False,,0,0,False,False,0,True,False,False
experiment_20250905_152321,0.75,1,1,GPT4.1mini_T1_p1i1,GPT4,1.0,GPT4_T1,1,True,first round,0,False,,0,False,,0,False,,0,False,,0,False,,0,False,,1,0,True,False,1,True,False,True
experiment_20250905_152321,0.75,1,1,Gemini20Flash_T02_p1i1,Gemini,0.2,Gemini_T02,1,True,first round,0,False,,0,False,,0,False,,0,False,,0,False,,0,False,,1,0,True,False,1,True,False,True
experiment_20250905_152321,0.75,1,1,Gemini20Flash_T07_p1i1,Gemini,0.7,Gemini_T07,1,True,first round,1,True,previous move,0,False,,0,False,,0,False,,0,False,,0,False,,2,0,True,False,2,True,False,True
experiment_20250905_152321,0.75,1,2,Gemini20Flash_T07_p1i1,Gemini,0.7,Gemini_T07,0,False,,2,True,last move; my last move,0,False,,0,False,,0,False,,1,True,overall strategy,0,False,,2,1,True,True,3,False,True,False
experiment_20250905_152321,0.75,1,3,Gemini20Flash_T07_p1i1,Gemini,0.7,Gemini_T07,0,False,,0,False,,0,False,,0,False,,0,False,,0,False,,0,False,,0,0,False,False,0,False,True,False
experiment_20250905_152321,0.75,1,4,Gemini20Flash_T07_p1i1,Gemini,0.7,Gemini_T07,3,True,round 1; round 2; round 3,1,True,previous move,0,False,,0,False,,0,False,,0,False,,0,False,,4,0,True,False,4,False,True,False
experiment_20250905_152321,0.75,1,1,Gemini20Flash_T12_p1i1,Gemini,1.2,Gemini_T12,0,False,,1,True,previous move,0,False,,0,False,,0,False,,0,False,,1,True,successful strategies,1,1,True,True,2,True,False,True
experiment_20250905_152321,0.75,1,1,GPT5mini_T1_p1i1,GPT5,1.0,GPT5_T1,0,False,,0,False,,0,False,,0,False,,0,False,,0,False,,0,False,,0,0,False,False,0,True,False,False
experiment_20250905_152321,0.75,1,1,GPT4.1mini_T1_p1i1,GPT4,1.0,GPT4_T1,1,True,first round,0,False,,0,False,,0,False,,0,False,,0,False,,0,False,,1,0,True,False,1,True,False,True
experiment_20250905_152321,0.75,1,1,Gemini20Flash_T02_p1i1,Gemini,0.2,Gemini_T02,1,True,first round,0,False,,0,False,,0,False,,0,False,,0,False,,0,False,,1,0,True,False,1,True,False,True
experiment_20250905_152321,0.75,1,2,Gemini20Flash_T02_p1i1,Gemini,0.2,Gemini_T02,2,True,first round; second round,1,True,previous move,0,False,,0,False,,0,False,,0,False,,0,False,,3,0,True,False,3,False,True,False
experiment_20250905_152321,0.75,1,1,Gemini20Flash_T07_p1i1,Gemini,0.7,Gemini_T07,1,True,first round,1,True,previous move,0,False,,0,False,,0,False,,0,False,,0,False,,2,0,True,False,2,True,False,True
experiment_20250905_152321,0.75,1,1,Gemini20Flash_T12_p1i1,Gemini,1.2,Gemini_T12,0,False,,1,True,previous move,0,False,,0,False,,0,False,,0,False,,1,True,successful strategies,1,1,True,True,2,True,False,True
experiment_20250905_152321,0.75,1,1,GPT5mini_T1_p1i1,GPT5,1.0,GPT5_T1,0,False,,0,False,,0,False,,0,False,,0,False,,0,False,,0,False,,0,0,False,False,0,True,False,False
experiment_20250905_152321,0.75,1,1,GPT4.1mini_T1_p1i1,GPT4,1.0,GPT4_T1,1,True,first round,0,False,,0,False,,0,False,,0,False,,0,False,,0,False,,1,0,True,False,1,True,False,True
experiment_20250905_152321,0.75,1,1,Gemini20Flash_T02_p1i1,Gemini,0.2,Gemini_T02,1,True,first round,0,False,,0,False,,0,False,,0,False,,0,False,,0,False,,1,0,True,False,1,True,False,True
experiment_20250905_152321,0.75,1,1,Gemini20Flash_T07_p1i1,Gemini,0.7,Gemini_T07,1,True,first round,1,True,previous move,0,False,,0,False,,0,False,,0,False,,0,False,,2,0,True,False,2,True,False,True
experiment_20250905_152321,0.75,1,1,Gemini20Flash_T12_p1i1,Gemini,1.2,Gemini_T12,0,False,,1,True,previous move,0,False,,0,False,,0,False,,0,False,,1,True,successful strategies,1,1,True,True,2,True,False,True
experiment_20250905_152321,0.75,1,2,Gemini20Flash_T12_p1i1,Gemini,1.2,Gemini_T12,3,True,first round; first round; second round,1,True,previous move,0,False,,1,True,they always defect,0,False,,0,False,,0,False,,5,0,True,False,5,False,True,False
experiment_20250905_152321,0.75,1,3,Gemini20Flash_T12_p1i1,Gemini,1.2,Gemini_T12,2,True,round 1; round 2,0,False,,0,False,,0,False,,0,False,,0,False,,0,False,,2,0,True,False,2,False,True,False
experiment_20250905_152321,0.75,1,1,GPT5mini_T1_p1i1,GPT5,1.0,GPT5_T1,0,False,,0,False,,0,False,,0,False,,0,False,,0,False,,0,False,,0,0,False,False,0,True,False,False
experiment_20250905_152321,0.75,1,1,GPT4.1mini_T1_p1i1,GPT4,1.0,GPT4_T1,1,True,first round,0,False,,0,False,,0,False,,0,False,,0,False,,0,False,,1,0,True,False,1,True,False,True
experiment_20250905_152321,0.75,1,1,Gemini20Flash_T02_p1i1,Gemini,0.2,Gemini_T02,1,True,first round,0,False,,0,False,,0,False,,0,False,,0,False,,0,False,,1,0,True,False,1,True,False,True
experiment_20250905_152321,0.75,1,2,Gemini20Flash_T02_p1i1,Gemini,0.2,Gemini_T02,1,True,first round,1,True,previous move,0,False,,0,False,,0,False,,0,False,,0,False,,2,0,True,False,2,False,True,False
experiment_20250905_152321,0.75,1,3,Gemini20Flash_T02_p1i1,Gemini,0.2,Gemini_T02,4,True,round 1; round 2; first round,1,True,previous move,0,False,,0,False,,0,False,,0,False,,0,False,,5,0,True,False,5,False,True,False
experiment_20250905_152321,0.75,1,1,Gemini20Flash_T07_p1i1,Gemini,0.7,Gemini_T07,1,True,first round,1,True,previous move,0,False,,0,False,,0,False,,0,False,,0,False,,2,0,True,False,2,True,False,True
experiment_20250905_152321,0.75,1,1,Gemini20Flash_T12_p1i1,Gemini,1.2,Gemini_T12,0,False,,1,True,previous move,0,False,,0,False,,0,False,,0,False,,1,True,successful strategies,1,1,True,True,2,True,False,True
experiment_20250905_152321,0.75,1,1,GPT5mini_T1_p1i1,GPT5,1.0,GPT5_T1,0,False,,0,False,,0,False,,0,False,,0,False,,0,False,,0,False,,0,0,False,False,0,True,False,False
experiment_20250905_152321,0.75,1,1,GPT4.1mini_T1_p1i1,GPT4,1.0,GPT4_T1,1,True,first round,0,False,,0,False,,0,False,,0,False,,0,False,,0,False,,1,0,True,False,1,True,False,True
experiment_20250905_152321,0.75,1,1,Gemini20Flash_T02_p1i1,Gemini,0.2,Gemini_T02,1,True,first round,0,False,,0,False,,0,False,,0,False,,0,False,,0,False,,1,0,True,False,1,True,False,True
experiment_20250905_152321,0.75,1,1,Gemini20Flash_T07_p1i1,Gemini,0.7,Gemini_T07,1,True,first round,1,True,previous move,0,False,,0,False,,0,False,,0,False,,0,False,,2,0,True,False,2,True,False,True
experiment_20250905_152321,0.75,1,1,Gemini20Flash_T12_p1i1,Gemini,1.2,Gemini_T12,0,False,,1,True,previous move,0,False,,0,False,,0,False,,0,False,,1,True,successful strategies,1,1,True,True,2,True,False,True
experiment_20250905_152321,0.75,1,2,Gemini20Flash_T12_p1i1,Gemini,1.2,Gemini_T12,3,True,first round; first round; second round,1,True,previous move,0,False,,1,True,they always defect,0,False,,0,False,,0,False,,5,0,True,False,5,False,True,False
experiment_20250905_152321,0.75,1,1,GPT5mini_T1_p1i1,GPT5,1.0,GPT5_T1,0,False,,0,False,,0,False,,0,False,,0,False,,0,False,,0,False,,0,0,False,False,0,True,False,False
experiment_20250905_152321,0.75,1,1,GPT4.1mini_T1_p1i1,GPT4,1.0,GPT4_T1,1,True,first round,0,False,,0,False,,0,False,,0,False,,0,False,,0,False,,1,0,True,False,1,True,False,True
experiment_20250905_152321,0.75,1,2,GPT4.1mini_T1_p1i1,GPT4,1.0,GPT4_T1,1,True,first round,0,False,,0,False,,0,False,,0,False,,0,False,,0,False,,1,0,True,False,1,False,True,False
experiment_20250905_152321,0.75,1,1,Gemini20Flash_T02_p1i1,Gemini,0.2,Gemini_T02,1,True,first round,0,False,,0,False,,0,False,,0,False,,0,False,,0,False,,1,0,True,False,1,True,False,True
experiment_20250905_152321,0.75,1,1,Gemini20Flash_T07_p1i1,Gemini,0.7,Gemini_T07,1,True,first round,1,True,previous move,0,False,,0,False,,0,False,,0,False,,0,False,,2,0,True,False,2,True,False,True
experiment_20250905_152321,0.75,1,2,Gemini20Flash_T07_p1i1,Gemini,0.7,Gemini_T07,0,False,,0,False,,0,False,,0,False,,0,False,,0,False,,0,False,,0,0,False,False,0,False,True,False
experiment_20250905_152321,0.75,1,1,Gemini20Flash_T12_p1i1,Gemini,1.2,Gemini_T12,0,False,,1,True,previous move,0,False,,0,False,,0,False,,0,False,,1,True,successful strategies,1,1,True,True,2,True,False,True
experiment_20250905_152321,0.75,1,2,Gemini20Flash_T12_p1i1,Gemini,1.2,Gemini_T12,0,False,,0,False,,0,False,,0,False,,0,False,,0,False,,0,False,,0,0,False,False,0,False,True,False
experiment_20250905_152321,0.75,1,3,Gemini20Flash_T12_p1i1,Gemini,1.2,Gemini_T12,0,False,,0,False,,0,False,,0,False,,0,False,,0,False,,0,False,,0,0,False,False,0,False,True,False
experiment_20250905_152321,0.75,1,1,GPT5mini_T1_p1i1,GPT5,1.0,GPT5_T1,0,False,,0,False,,0,False,,0,False,,0,False,,0,False,,0,False,,0,0,False,False,0,True,False,False
experiment_20250905_152321,0.75,1,1,GPT5nano_T1_p1i1,GPT5,1.0,GPT5_T1,1,True,first round,0,False,,0,False,,0,False,,0,False,,0,False,,0,False,,1,0,True,False,1,True,False,True
experiment_20250905_152321,0.75,1,1,GPT4.1mini_T1_p1i1,GPT4,1.0,GPT4_T1,1,True,first round,0,False,,0,False,,0,False,,0,False,,0,False,,0,False,,1,0,True,False,1,True,False,True
experiment_20250905_152321,0.75,1,1,Gemini20Flash_T02_p1i1,Gemini,0.2,Gemini_T02,1,True,first round,0,False,,0,False,,0,False,,0,False,,0,False,,0,False,,1,0,True,False,1,True,False,True
experiment_20250905_152321,0.75,1,2,Gemini20Flash_T02_p1i1,Gemini,0.2,Gemini_T02,2,True,first round; second round,1,True,previous move,0,False,,0,False,,0,False,,0,False,,0,False,,3,0,True,False,3,False,True,False
experiment_20250905_152321,0.75,1,3,Gemini20Flash_T02_p1i1,Gemini,0.2,Gemini_T02,2,True,round 1; round 2,2,True,last move; my last move,0,False,,0,False,,0,False,,0,False,,0,False,,4,0,True,False,4,False,True,False
experiment_20250905_152321,0.75,1,1,Gemini20Flash_T07_p1i1,Gemini,0.7,Gemini_T07,1,True,first round,1,True,previous move,0,False,,0,False,,0,False,,0,False,,0,False,,2,0,True,False,2,True,False,True
experiment_20250905_152321,0.75,1,1,Gemini20Flash_T12_p1i1,Gemini,1.2,Gemini_T12,0,False,,1,True,previous move,0,False,,0,False,,0,False,,0,False,,1,True,successful strategies,1,1,True,True,2,True,False,True
experiment_20250905_152321,0.75,1,1,GPT5mini_T1_p1i1,GPT5,1.0,GPT5_T1,0,False,,0,False,,0,False,,0,False,,0,False,,0,False,,0,False,,0,0,False,False,0,True,False,False
experiment_20250905_152321,0.75,1,1,GPT5nano_T1_p1i1,GPT5,1.0,GPT5_T1,1,True,first round,0,False,,0,False,,0,False,,0,False,,0,False,,0,False,,1,0,True,False,1,True,False,True
experiment_20250905_152321,0.75,1,1,GPT4.1mini_T1_p1i1,GPT4,1.0,GPT4_T1,1,True,first round,0,False,,0,False,,0,False,,0,False,,0,False,,0,False,,1,0,True,False,1,True,False,True
experiment_20250905_152321,0.75,1,1,Gemini20Flash_T02_p1i1,Gemini,0.2,Gemini_T02,1,True,first round,0,False,,0,False,,0,False,,0,False,,0,False,,0,False,,1,0,True,False,1,True,False,True
experiment_20250905_152321,0.75,1,1,Gemini20Flash_T07_p1i1,Gemini,0.7,Gemini_T07,1,True,first round,1,True,previous move,0,False,,0,False,,0,False,,0,False,,0,False,,2,0,True,False,2,True,False,True
experiment_20250905_152321,0.75,1,1,Gemini20Flash_T12_p1i1,Gemini,1.2,Gemini_T12,0,False,,1,True,previous move,0,False,,0,False,,0,False,,0,False,,1,True,successful strategies,1,1,True,True,2,True,False,True
experiment_20250905_152321,0.75,1,1,GPT5mini_T1_p1i1,GPT5,1.0,GPT5_T1,0,False,,0,False,,0,False,,0,False,,0,False,,0,False,,0,False,,0,0,False,False,0,True,False,False
experiment_20250905_152321,0.75,1,1,GPT5nano_T1_p1i1,GPT5,1.0,GPT5_T1,1,True,first round,0,False,,0,False,,0,False,,0,False,,0,False,,0,False,,1,0,True,False,1,True,False,True
experiment_20250905_152321,0.75,1,1,GPT4.1mini_T1_p1i1,GPT4,1.0,GPT4_T1,1,True,first round,0,False,,0,False,,0,False,,0,False,,0,False,,0,False,,1,0,True,False,1,True,False,True
experiment_20250905_152321,0.75,1,1,Gemini20Flash_T02_p1i1,Gemini,0.2,Gemini_T02,1,True,first round,0,False,,0,False,,0,False,,0,False,,0,False,,0,False,,1,0,True,False,1,True,False,True
experiment_20250905_152321,0.75,1,1,Gemini20Flash_T07_p1i1,Gemini,0.7,Gemini_T07,1,True,first round,1,True,previous move,0,False,,0,False,,0,False,,0,False,,0,False,,2,0,True,False,2,True,False,True
experiment_20250905_152321,0.75,1,1,Gemini20Flash_T12_p1i1,Gemini,1.2,Gemini_T12,0,False,,1,True,previous move,0,False,,0,False,,0,False,,0,False,,1,True,successful strategies,1,1,True,True,2,True,False,True
experiment_20250905_152321,0.75,1,1,GPT5mini_T1_p1i1,GPT5,1.0,GPT5_T1,0,False,,0,False,,0,False,,0,False,,0,False,,0,False,,0,False,,0,0,False,False,0,True,False,False
experiment_20250905_152321,0.75,1,1,GPT5nano_T1_p1i1,GPT5,1.0,GPT5_T1,1,True,first round,0,False,,0,False,,0,False,,0,False,,0,False,,0,False,,1,0,True,False,1,True,False,True
experiment_20250905_152321,0.75,1,1,GPT4.1mini_T1_p1i1,GPT4,1.0,GPT4_T1,1,True,first round,0,False,,0,False,,0,False,,0,False,,0,False,,0,False,,1,0,True,False,1,True,False,True
experiment_20250905_152321,0.75,1,2,GPT4.1mini_T1_p1i1,GPT4,1.0,GPT4_T1,1,True,first round,0,False,,0,False,,0,False,,0,False,,0,False,,0,False,,1,0,True,False,1,False,True,False
experiment_20250905_152321,0.75,1,1,Gemini20Flash_T02_p1i1,Gemini,0.2,Gemini_T02,1,True,first round,0,False,,0,False,,0,False,,0,False,,0,False,,0,False,,1,0,True,False,1,True,False,True
experiment_20250905_152321,0.75,1,1,Gemini20Flash_T07_p1i1,Gemini,0.7,Gemini_T07,1,True,first round,1,True,previous move,0,False,,0,False,,0,False,,0,False,,0,False,,2,0,True,False,2,True,False,True
experiment_20250905_152321,0.75,1,1,Gemini20Flash_T12_p1i1,Gemini,1.2,Gemini_T12,0,False,,1,True,previous move,0,False,,0,False,,0,False,,0,False,,1,True,successful strategies,1,1,True,True,2,True,False,True
experiment_20250905_152321,0.75,1,2,Gemini20Flash_T12_p1i1,Gemini,1.2,Gemini_T12,3,True,first round; first round; second round,1,True,previous move,0,False,,1,True,they always defect,0,False,,0,False,,0,False,,5,0,True,False,5,False,True,False
