IPD EXPERIMENT ANALYSIS REPORT
==================================================

OVERALL PERFORMANCE RANKINGS
------------------------------
1. GPT5mini_T1: 4.110 points/move
2. GPT5mini_T1_p1i1: 4.083 points/move
3. GPT5nano_T1: 3.910 points/move
4. SuspiciousTitForTat_p1i1: 3.871 points/move
5. SuspiciousTitForTat_p2i2: 3.788 points/move
6. GPT5mini_T1_p2i2: 3.615 points/move
7. ThompsonSampling_p1i1: 3.444 points/move
8. GPT5nano_T1_p1i1: 3.438 points/move
9. Random_p1i1: 3.400 points/move
10. QLearning_p2i1: 3.231 points/move
11. SuspiciousTitForTat_p2i1: 3.162 points/move
12. GPT5mini_T1_p3i3: 3.125 points/move
13. GradientMetaLearner_p1i1: 3.118 points/move
14. GPT5mini_T1_p2i1: 3.079 points/move
15. GradientMetaLearner_p2i1: 2.941 points/move
16. ThompsonSampling_p2i2: 2.905 points/move
17. SuspiciousTitForTat_p3i4: 2.868 points/move
18. ThompsonSampling_p2i1: 2.864 points/move
19. Random_p2i1: 2.861 points/move
20. Random_p3i1: 2.848 points/move
21. GPT5mini_T1_p3i1: 2.838 points/move
22. Detective_p1i1: 2.829 points/move
23. SuspiciousTitForTat_p3i3: 2.810 points/move
24. SuspiciousTitForTat_p3i1: 2.771 points/move
25. Claude4-Sonnet_T02: 2.763 points/move
26. QLearning_p1i1: 2.750 points/move
27. Random_p3i2: 2.676 points/move
28. SuspiciousTitForTat_p3i2: 2.675 points/move
29. Claude4-Sonnet_T02_p1i1: 2.658 points/move
30. SoftGrudger_p1i1: 2.647 points/move
31. GPT4.1mini_T1: 2.647 points/move
32. SoftGrudger_p2i1: 2.628 points/move
33. QLearning_p3i1: 2.619 points/move
34. Prober_p1i1: 2.611 points/move
35. Mistral-Medium_T02: 2.610 points/move
36. Alternator_p1i1: 2.606 points/move
37. Gradual_p1i1: 2.600 points/move
38. Mistral-Medium_T12: 2.591 points/move
39. GPT5mini_T1_p3i2: 2.571 points/move
40. Detective_p2i1: 2.561 points/move
41. ForgivingGrimTrigger_p1i1: 2.558 points/move
42. Claude4-Sonnet_T05: 2.546 points/move
43. Claude4-Sonnet_T05_p1i1: 2.541 points/move
44. Gemini20Flash_T12: 2.539 points/move
45. Gemini20Flash_T02: 2.531 points/move
46. Mistral-Medium_T12_p1i1: 2.528 points/move
47. Gemini20Flash_T07: 2.522 points/move
48. Claude4-Sonnet_T02_p2i1: 2.515 points/move
49. QLearning_p3i2: 2.514 points/move
50. ThompsonSampling_p3i2: 2.514 points/move
51. Claude4-Sonnet_T08: 2.513 points/move
52. SuspiciousTitForTat_p4i3: 2.500 points/move
53. Claude4-Sonnet_T08_p1i1: 2.500 points/move
54. Mistral-Medium_T07: 2.488 points/move
55. Random_p2i2: 2.487 points/move
56. Gemini20Flash_T07_p2i1: 2.486 points/move
57. Mistral-Medium_T02_p2i1: 2.485 points/move
58. Bayesian_p1i1: 2.474 points/move
59. GPT5mini_T1_p4i2: 2.474 points/move
60. WinStayLoseShift_p1i1: 2.469 points/move
61. GrimTrigger_p1i1: 2.463 points/move
62. SuspiciousTitForTat_p4i1: 2.457 points/move
63. Claude4-Sonnet_T08_p2i1: 2.439 points/move
