timestamp,shadow_condition,match_id,round,agent1,agent2,agent1_move,agent2_move,agent1_total_score,agent2_total_score,agent1_reasoning,agent2_reasoning
2025-09-05T19:12:32.184927,0.1,TitForTat_p1i1_vs_GrimTrigger_p1i1,1,TitForTat_p1i1,GrimTrigger_p1i1,C,C,21,21,,
2025-09-05T19:12:32.184927,0.1,TitForTat_p1i1_vs_GrimTrigger_p1i1,2,TitForTat_p1i1,GrimTrigger_p1i1,C,C,21,21,,
2025-09-05T19:12:32.184927,0.1,TitForTat_p1i1_vs_GrimTrigger_p1i1,3,TitForTat_p1i1,GrimTrigger_p1i1,C,C,21,21,,
2025-09-05T19:12:32.184927,0.1,TitForTat_p1i1_vs_GrimTrigger_p1i1,4,TitForTat_p1i1,GrimTrigger_p1i1,C,C,21,21,,
2025-09-05T19:12:32.184927,0.1,TitForTat_p1i1_vs_GrimTrigger_p1i1,5,TitForTat_p1i1,GrimTrigger_p1i1,C,C,21,21,,
2025-09-05T19:12:32.184927,0.1,TitForTat_p1i1_vs_GrimTrigger_p1i1,6,TitForTat_p1i1,GrimTrigger_p1i1,C,C,21,21,,
2025-09-05T19:12:32.184927,0.1,TitForTat_p1i1_vs_GrimTrigger_p1i1,7,TitForTat_p1i1,GrimTrigger_p1i1,C,C,21,21,,
2025-09-05T19:12:32.184927,0.1,TitForTat_p1i1_vs_WinStayLoseShift_p1i1,1,TitForTat_p1i1,WinStayLoseShift_p1i1,C,C,36,36,,
2025-09-05T19:12:32.184927,0.1,TitForTat_p1i1_vs_WinStayLoseShift_p1i1,2,TitForTat_p1i1,WinStayLoseShift_p1i1,C,C,36,36,,
2025-09-05T19:12:32.184927,0.1,TitForTat_p1i1_vs_WinStayLoseShift_p1i1,3,TitForTat_p1i1,WinStayLoseShift_p1i1,C,C,36,36,,
2025-09-05T19:12:32.184927,0.1,TitForTat_p1i1_vs_WinStayLoseShift_p1i1,4,TitForTat_p1i1,WinStayLoseShift_p1i1,C,C,36,36,,
2025-09-05T19:12:32.184927,0.1,TitForTat_p1i1_vs_WinStayLoseShift_p1i1,5,TitForTat_p1i1,WinStayLoseShift_p1i1,C,C,36,36,,
2025-09-05T19:12:32.184927,0.1,TitForTat_p1i1_vs_WinStayLoseShift_p1i1,6,TitForTat_p1i1,WinStayLoseShift_p1i1,C,C,36,36,,
2025-09-05T19:12:32.184927,0.1,TitForTat_p1i1_vs_WinStayLoseShift_p1i1,7,TitForTat_p1i1,WinStayLoseShift_p1i1,C,C,36,36,,
2025-09-05T19:12:32.184927,0.1,TitForTat_p1i1_vs_WinStayLoseShift_p1i1,8,TitForTat_p1i1,WinStayLoseShift_p1i1,C,C,36,36,,
2025-09-05T19:12:32.184927,0.1,TitForTat_p1i1_vs_WinStayLoseShift_p1i1,9,TitForTat_p1i1,WinStayLoseShift_p1i1,C,C,36,36,,
2025-09-05T19:12:32.184927,0.1,TitForTat_p1i1_vs_WinStayLoseShift_p1i1,10,TitForTat_p1i1,WinStayLoseShift_p1i1,C,C,36,36,,
2025-09-05T19:12:32.184927,0.1,TitForTat_p1i1_vs_WinStayLoseShift_p1i1,11,TitForTat_p1i1,WinStayLoseShift_p1i1,C,C,36,36,,
2025-09-05T19:12:32.184927,0.1,TitForTat_p1i1_vs_WinStayLoseShift_p1i1,12,TitForTat_p1i1,WinStayLoseShift_p1i1,C,C,36,36,,
2025-09-05T19:12:32.184927,0.1,TitForTat_p1i1_vs_GenerousTitForTat_p1i1,1,TitForTat_p1i1,GenerousTitForTat_p1i1,C,C,18,18,,Starting with cooperation.
2025-09-05T19:12:32.184927,0.1,TitForTat_p1i1_vs_GenerousTitForTat_p1i1,2,TitForTat_p1i1,GenerousTitForTat_p1i1,C,C,18,18,,"Opponent cooperated, so I'm cooperating too."
2025-09-05T19:12:32.184927,0.1,TitForTat_p1i1_vs_GenerousTitForTat_p1i1,3,TitForTat_p1i1,GenerousTitForTat_p1i1,C,C,18,18,,"Opponent cooperated, so I'm cooperating too."
2025-09-05T19:12:32.184927,0.1,TitForTat_p1i1_vs_GenerousTitForTat_p1i1,4,TitForTat_p1i1,GenerousTitForTat_p1i1,C,C,18,18,,"Opponent cooperated, so I'm cooperating too."
2025-09-05T19:12:32.184927,0.1,TitForTat_p1i1_vs_GenerousTitForTat_p1i1,5,TitForTat_p1i1,GenerousTitForTat_p1i1,C,C,18,18,,"Opponent cooperated, so I'm cooperating too."
2025-09-05T19:12:32.184927,0.1,TitForTat_p1i1_vs_GenerousTitForTat_p1i1,6,TitForTat_p1i1,GenerousTitForTat_p1i1,C,C,18,18,,"Opponent cooperated, so I'm cooperating too."
2025-09-05T19:12:32.184927,0.1,TitForTat_p1i1_vs_SuspiciousTitForTat_p1i1,1,TitForTat_p1i1,SuspiciousTitForTat_p1i1,C,D,5,10,,Starting with defection (suspicious).
2025-09-05T19:12:32.184927,0.1,TitForTat_p1i1_vs_SuspiciousTitForTat_p1i1,2,TitForTat_p1i1,SuspiciousTitForTat_p1i1,D,C,5,10,,Copying opponent's last move (C).
2025-09-05T19:12:32.184927,0.1,TitForTat_p1i1_vs_SuspiciousTitForTat_p1i1,3,TitForTat_p1i1,SuspiciousTitForTat_p1i1,C,D,5,10,,Copying opponent's last move (D).
